FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
2233,OR3,OFFICE/RES,OFFICE,968.42226172,58185.7726313,5.56209016e-07,0.00298482693326
2234,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,523.176375327,16225.0018813,1.5509639e-07,0.001672273129074
2235,M1,INDUSTRIAL,INDUSTRIAL,2197.02519155,237540.607608,2.270652881e-06,0.007047909088274
2236,R7,RES MULTI-FAMILY,RESIDENTIAL,481.60307146,12274.090275,1.17328857e-07,0.001565735301814
2237,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1190.29719207,88559.5489344,8.46541075e-07,0.003701868221615
2238,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2857.06353103,217551.00463,2.079545325e-06,0.00886153717348
2239,R7,RES MULTI-FAMILY,RESIDENTIAL,867.536861763,46410.1224484,4.43627791e-07,0.002734880772842
2240,R7,RES MULTI-FAMILY,RESIDENTIAL,3982.80205778,689637.521054,6.592183239e-06,0.012502394369856
2241,R7,RES MULTI-FAMILY,RESIDENTIAL,1037.51889188,42247.0605523,4.0383198e-07,0.003364635880855
2242,OR1,OFFICE/RES,OFFICE,2015.28831201,173839.752998,1.661865511e-06,0.006552516287025
2243,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2692.73428113,291114.113606,2.782990069e-06,0.008280792827153
2244,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4205.93205364,361383.402606,3.454617108e-06,0.012523009032951
2245,R7,RES MULTI-FAMILY,RESIDENTIAL,2605.79532597,242125.06497,2.314629582e-06,0.008181675672368
2246,OR2,OFFICE/RES,OFFICE,4579.32269329,526975.206231,5.037636349e-06,0.014133474010646
2247,M2,INDUSTRIAL,INDUSTRIAL,1530.65961479,130693.796931,1.249440023e-06,0.004790605463508
2248,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2293.12952289,192233.492991,1.837757318e-06,0.007166187469662
2249,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2248.46968756,143428.341644,1.371091212e-06,0.006811049603059
2250,OTF,OFFICE/TOURIST FACILITY,OFFICE,1463.78536791,128402.31107,1.227529224e-06,0.004557481083371
2251,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3814.37064923,477770.244359,4.567440954e-06,0.012075455202899
2252,R5,RES SINGLE FAMILY,RESIDENTIAL,2740.75603789,332486.61409,3.178553344e-06,0.008672912466005
2253,M2,INDUSTRIAL,INDUSTRIAL,927.235089254,51839.2140703,4.95554315e-07,0.00279965935546
2254,M1,INDUSTRIAL,INDUSTRIAL,2902.6906139,178680.48697,1.708097219e-06,0.009403863003044
2255,M2,INDUSTRIAL,INDUSTRIAL,648.942170917,26598.2329797,2.54278219e-07,0.00199927520023
2256,R1,RES SINGLE FAMILY,RESIDENTIAL,4292.84981717,779970.482847,7.456022394e-06,0.014249844150811
2257,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1723.72747186,173259.17727,1.656419849e-06,0.005273838764222
2258,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,689.674594956,28838.0453703,2.75702251e-07,0.002158747597698
2259,M1,INDUSTRIAL,INDUSTRIAL,556.148759553,15645.4002,1.49576391e-07,0.001629955208537
2260,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,1406.80834551,102193.89998,9.77008991e-07,0.004205198289411
2261,M2,INDUSTRIAL,INDUSTRIAL,742.929343887,25482.7225594,2.43624464e-07,0.002339615340532
2262,M1,INDUSTRIAL,INDUSTRIAL,593.181383109,18298.9816539,1.74943552e-07,0.001777038015178
2263,OR3,OFFICE/RES,OFFICE,891.29757808,45998.7117641,4.39759548e-07,0.002831227510042
2264,OR3,OFFICE/RES,OFFICE,4946.03942677,1033687.62374,9.882315194e-06,0.016000928563423
2265,R7,RES MULTI-FAMILY,RESIDENTIAL,836.205850774,23822.9478,2.27750885e-07,0.00266739982474
2266,R7,RES MULTI-FAMILY,RESIDENTIAL,1692.63011089,118403.898184,1.131948876e-06,0.005133297644551
2267,M2,INDUSTRIAL,INDUSTRIAL,680.509632879,25001.5487953,2.39015278e-07,0.002214363050328
2268,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3149.35655251,390305.534311,3.731415077e-06,0.009571820722678
2269,M2,INDUSTRIAL,INDUSTRIAL,1349.53241523,48396.1354531,4.62665892e-07,0.00441673771734
2270,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1437.47483525,103363.149789,9.87855798e-07,0.004499994401677
2271,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,405.428984133,4288.7459,4.1000461e-08,0.001358665646813
2272,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,707.106849069,31167.4502914,2.98049821e-07,0.002172149689305
2273,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1117.1838128,76824.0497547,7.33788387e-07,0.003438675720181
2274,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1299.10863374,90428.8976687,8.62119197e-07,0.003921562934236
2275,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,799.420795052,39918.2908625,3.81560596e-07,0.002502279521138
2276,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1670.65903056,167833.502366,1.604856647e-06,0.005133985103483
2277,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1716.73033963,89493.2659109,8.53640746e-07,0.005609148188644
2278,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1137.04174149,64483.1639406,6.16426513e-07,0.003425325760605
2279,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3148.8015225,310424.06509,2.965151783e-06,0.009793213002253
2280,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1001.39053487,36167.9343281,3.45086266e-07,0.002992593736729
2281,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1607.30142226,127486.518869,1.21820632e-06,0.004758116232365
2282,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,964.592113518,60463.7044484,5.78259968e-07,0.003027873943438
2283,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3722.71961816,629851.678866,6.02499148e-06,0.011724535516871
2284,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,996.729491805,57753.1139719,5.51813437e-07,0.003167863393651
2285,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3855.59297367,616603.89036,5.889644425e-06,0.011760075471256
2286,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3076.65938048,356642.322497,3.410084535e-06,0.00954819864405
2287,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1168.35356907,83181.3204531,7.9446216e-07,0.003648945425266
2288,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1587.73753779,147472.61162,1.410221745e-06,0.004798890166494
2289,R7,RES MULTI-FAMILY,RESIDENTIAL,1164.88963768,79741.5060188,7.62327474e-07,0.003752533668376
2290,R6,RES MULTI-FAMILY,RESIDENTIAL,1054.17743537,29862.6049414,2.85484949e-07,0.003249473370105
2291,R4,RES SINGLE FAMILY,RESIDENTIAL,2532.8474218,383757.383975,3.668715084e-06,0.007850461799012
2292,R4,RES SINGLE FAMILY,RESIDENTIAL,3103.32651576,400288.33312,3.826665831e-06,0.010192853355755
2293,R7,RES MULTI-FAMILY,RESIDENTIAL,693.99338374,26073.9306687,2.49263047e-07,0.002153409574475
2294,R7,RES MULTI-FAMILY,RESIDENTIAL,5837.25436534,1692468.72508,1.6179534423e-05,0.017609426681763
2295,R5A,RES MULTI FAMILY,RESIDENTIAL,2434.1621393,251960.40139,2.409480177e-06,0.007246646823325
2296,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,7050.05558527,1584906.12986,1.5151952524e-05,0.022313688604448
2297,R4,RES SINGLE FAMILY,RESIDENTIAL,1906.59035959,163878.627631,1.566737763e-06,0.006163833878488
2298,R5B,RES TWO-FAMILY,RESIDENTIAL,5819.71275214,658960.270033,6.299815964e-06,0.018145952027544
2299,R6,RES MULTI-FAMILY,RESIDENTIAL,2598.11725732,255313.46173,2.440900536e-06,0.007742978235617
2300,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4038.8416137,415368.874133,3.971016636e-06,0.012635921624482
2301,R7,RES MULTI-FAMILY,RESIDENTIAL,723.312712753,28805.1158656,2.75385782e-07,0.002220934781
2302,OR1,OFFICE/RES,OFFICE,1915.88053341,145292.155238,1.389035886e-06,0.005979616291408
2303,R4,RES SINGLE FAMILY,RESIDENTIAL,866.579390644,45729.9151133,4.3720218e-07,0.002650447578559
2304,OR3,OFFICE/RES,OFFICE,1300.05202662,104029.722322,9.94553645e-07,0.003995178446106
2305,R7,RES MULTI-FAMILY,RESIDENTIAL,1461.33153859,118517.223138,1.133057234e-06,0.004628720599899
2306,OR1,OFFICE/RES,OFFICE,385.920039941,9023.37250156,8.6265876e-08,0.001192786801892
2307,R4,RES SINGLE FAMILY,RESIDENTIAL,1669.41639114,138729.093805,1.32631185e-06,0.00533490692072
2308,M2,INDUSTRIAL,INDUSTRIAL,3008.83821726,457896.885719,4.377574446e-06,0.009414770857255
2309,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,596.87836371,20219.1824594,1.93308842e-07,0.001925146315823
2310,R5,RES SINGLE FAMILY,RESIDENTIAL,694.532753613,27053.9484813,2.58646588e-07,0.002129175164339
2311,R7,RES MULTI-FAMILY,RESIDENTIAL,1260.0214175,82310.1827172,7.86902531e-07,0.003912683685732
2312,R6,RES MULTI-FAMILY,RESIDENTIAL,608.62777509,13733.9979187,1.31300578e-07,0.001969853392838
2313,R6,RES MULTI-FAMILY,RESIDENTIAL,1040.94776941,40443.5342187,3.86649039e-07,0.003176492085948
2314,OR3,OFFICE/RES,OFFICE,3834.28798683,493758.954863,4.72049899e-06,0.011768796657754
2315,R7,RES MULTI-FAMILY,RESIDENTIAL,937.1175317,48299.0538219,4.61749867e-07,0.002947033928188
2316,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1147.87701678,80608.0745438,7.70030966e-07,0.003524803866236
2317,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1581.06120939,125408.41473,1.199056142e-06,0.004919363601652
2318,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,788.754384152,38049.5061656,3.63312674e-07,0.002412200151154
2319,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,772.297765641,35953.9079625,3.43640696e-07,0.002454919830169
2320,R5A,RES MULTI FAMILY,RESIDENTIAL,4410.57080647,687923.107392,6.5760613e-06,0.014062030600592
2321,R5A,RES MULTI FAMILY,RESIDENTIAL,1308.61182768,91865.25895,8.7804422e-07,0.003917607771639
2322,R5A,RES MULTI FAMILY,RESIDENTIAL,7300.10840711,1758644.33414,1.6817216801e-05,0.023139497341475
2323,R6,RES MULTI-FAMILY,RESIDENTIAL,14313.7337154,3176651.56696,3.0368600432e-05,0.044442637978978
2324,R5B,RES TWO-FAMILY,RESIDENTIAL,3627.23315164,291367.309016,2.785585498e-06,0.011255103254283
2325,R7,RES MULTI-FAMILY,RESIDENTIAL,1515.99709649,95159.0197469,9.09762375e-07,0.004895527896942
2326,R7,RES MULTI-FAMILY,RESIDENTIAL,2379.18022268,216751.243973,2.070924296e-06,0.00755016166988
2327,M2,INDUSTRIAL,INDUSTRIAL,824.908729227,28335.1572547,2.70727545e-07,0.002491003335749
2328,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,736.335080438,32734.4960641,3.12761368e-07,0.002341757700235
2329,OTF,OFFICE/TOURIST FACILITY,OFFICE,608.184447976,22404.1767344,2.14065435e-07,0.00193217084507
2330,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,498.117412539,13919.0154109,1.3299045e-07,0.001616075760282
2331,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,891.017458892,39276.9835563,3.75271994e-07,0.002711854219302
2332,R5A,RES MULTI FAMILY,RESIDENTIAL,720.833759723,30940.4965,2.95762621e-07,0.002230236946581
2333,R5A,RES MULTI FAMILY,RESIDENTIAL,949.567573603,56340.8626406,5.37347605e-07,0.002970368867196
2334,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,565.139524647,18235.4759391,1.74233979e-07,0.001818705502505
2335,R5A,RES MULTI FAMILY,RESIDENTIAL,931.813676315,50466.1159406,4.82607601e-07,0.002892734881792
2336,M2,INDUSTRIAL,INDUSTRIAL,7365.7703543,2704474.01605,2.5839305847e-05,0.022643662313505
2337,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,793.665909953,23305.1726969,2.22667873e-07,0.002387888897402
2338,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1164.43478306,81502.7711687,7.78701321e-07,0.003701774493633
2339,M2,INDUSTRIAL,INDUSTRIAL,878.875592825,42598.2880031,4.06999878e-07,0.00271087780546
2340,M1,INDUSTRIAL,INDUSTRIAL,1024.98177895,42030.8392844,4.01581279e-07,0.003288536581997
2341,R4,RES SINGLE FAMILY,RESIDENTIAL,6289.31922463,1985661.03288,1.8984068339e-05,0.020110682197149
2342,R6,RES MULTI-FAMILY,RESIDENTIAL,508.773055026,7664.61366719,7.3278979e-08,0.001550187295395
2343,OTF,OFFICE/TOURIST FACILITY,OFFICE,3994.64922271,474262.714391,4.534205476e-06,0.012682339883893
2344,R5,RES SINGLE FAMILY,RESIDENTIAL,683.960611098,29264.7360992,2.79787411e-07,0.002131624836437
2345,R8A,RES MULTI-FAMILY,RESIDENTIAL,4378.43974301,990865.413931,9.473055556e-06,0.014025893563885
2346,R5,RES SINGLE FAMILY,RESIDENTIAL,9369.64001514,2411377.8039,2.3053416494e-05,0.02913074814695
2347,M1,INDUSTRIAL,INDUSTRIAL,3539.46019643,591149.867952,5.648451412e-06,0.011608438635808
2348,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1253.01479687,67261.5568805,6.42661122e-07,0.003876989760239
2349,OR1,OFFICE/RES,OFFICE,582.929849884,12050.7783438,1.15143236e-07,0.001905364720412
2350,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4984.19578921,433074.562256,4.138010306e-06,0.016246375824784
2351,OR1,OFFICE/RES,OFFICE,1740.0101784,97942.5971875,9.35849673e-07,0.005660089652666
2352,M1,INDUSTRIAL,INDUSTRIAL,3066.07938951,481644.89682,4.602171973e-06,0.009987138882268
2353,OR2,OFFICE/RES,OFFICE,710.764869897,30964.9562031,2.95878743e-07,0.002259851325854
2354,R5,RES SINGLE FAMILY,RESIDENTIAL,446.995249714,12321.3739047,1.17730694e-07,0.0013729532187
2355,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,508.261388095,15263.6563742,1.45843106e-07,0.001625862508931
2356,R5,RES SINGLE FAMILY,RESIDENTIAL,5031.22575831,1095151.56738,1.0463550323e-05,0.015561255673188
2357,M1,INDUSTRIAL,INDUSTRIAL,1465.46068323,102204.20402,9.76530669e-07,0.004655305552693
2358,M1,INDUSTRIAL,INDUSTRIAL,952.068254828,52454.9479977,5.01195837e-07,0.002879661886463
2359,OTF,OFFICE/TOURIST FACILITY,OFFICE,1132.06092215,76486.9729492,7.30802668e-07,0.003503697120387
2360,OR2,OFFICE/RES,OFFICE,2387.44569177,289222.29549,2.763374925e-06,0.007840764082142
2361,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,634.72525131,13163.6866906,1.25774091e-07,0.001945046374055
2362,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1575.30513156,139631.2435,1.33423248e-06,0.004905466612842
2363,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,660.565572306,21926.45125,2.09522763e-07,0.001970250184047
2364,R5,RES SINGLE FAMILY,RESIDENTIAL,1398.38030076,111539.322822,1.065797175e-06,0.004226756330568
2365,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1831.1212499,214457.52221,2.049261787e-06,0.005638516452535
2366,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,628.87601535,15462.3158063,1.47745158e-07,0.001817190722597
2367,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,864.991565618,45361.96525,4.33441462e-07,0.0026384202342
2368,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,931.320838139,53762.4598219,5.13709663e-07,0.002868488850954
2369,R7,RES MULTI-FAMILY,RESIDENTIAL,1771.46286936,130217.002569,1.244228438e-06,0.005773966099228
2370,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,658.95545076,18528.6810563,1.77044313e-07,0.001916524923029
2371,OR3,OFFICE/RES,OFFICE,8883.79569203,1747490.47585,1.6697109388e-05,0.026666361309629
2372,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,871.207758756,41699.9369594,3.98451682e-07,0.002770175000105
2373,R5,RES SINGLE FAMILY,RESIDENTIAL,4020.58333133,376463.86582,3.597110585e-06,0.012439257427119
2374,R7,RES MULTI-FAMILY,RESIDENTIAL,919.560243182,49988.5115688,4.77637913e-07,0.00280439429986
2375,M2,INDUSTRIAL,INDUSTRIAL,6474.73399388,535723.40536,5.118779638e-06,0.021121356240713
2376,OR3,OFFICE/RES,OFFICE,2418.47931736,150460.65187,1.437672345e-06,0.006890766772923
2377,R7,RES MULTI-FAMILY,RESIDENTIAL,1227.2235519,110735.90877,1.058081812e-06,0.003775267857313
2378,OR1,OFFICE/RES,OFFICE,2616.38575406,230094.951663,2.198565387e-06,0.007639454437533
2379,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1293.30295254,87641.2189875,8.37398205e-07,0.003974230696158
2380,OTF,OFFICE/TOURIST FACILITY,OFFICE,1556.33972337,103802.15685,9.91977047e-07,0.004821016459032
2381,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3135.2779866,306908.28747,2.932809007e-06,0.010035305116315
2382,OR2,OFFICE/RES,OFFICE,2766.06754148,370283.327659,3.538465927e-06,0.008975612493017
2383,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1804.54741582,111983.523209,1.070081967e-06,0.005434579263236
2384,R5,RES SINGLE FAMILY,RESIDENTIAL,4907.01334963,653451.22374,6.244053508e-06,0.015308883314918
2385,R5,RES SINGLE FAMILY,RESIDENTIAL,1847.83425112,153427.72275,1.466093395e-06,0.00605444061081
2386,R7,RES MULTI-FAMILY,RESIDENTIAL,7200.60169751,1849112.07203,1.7671074362e-05,0.022243511743653
2387,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1327.92813385,78150.8371438,7.46874471e-07,0.004267679259595
2388,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1221.79705822,50618.6407344,4.83761278e-07,0.003829744506264
2389,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4467.77347564,406864.182694,3.888213908e-06,0.013491723887447
2390,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,854.378646588,43234.9178719,4.13193424e-07,0.002704239088222
2391,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3378.99430265,371327.55482,3.548695912e-06,0.010396102246686
2392,M2,INDUSTRIAL,INDUSTRIAL,1316.45139315,76367.4481664,7.29819505e-07,0.003869352306569
2393,R3,RES SINGLE FAMILY,RESIDENTIAL,8919.1158643,3056445.75134,2.9207577378e-05,0.027781587453621
2394,M3,INDUSTRIAL,INDUSTRIAL,1178.48323742,84191.9743562,8.04585506e-07,0.003679102883955
2395,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2018.00960761,189547.434191,1.811768896e-06,0.006260092743682
2396,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1234.12087665,82110.5003406,7.84099597e-07,0.003816110433789
2397,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,335.092170065,6447.11632813,6.1676412e-08,0.001062448268952
2398,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,634.01886024,24751.9239609,2.36792052e-07,0.001976079731428
2399,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1930.85883459,195179.228055,1.865034772e-06,0.006023821195011
2400,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1820.69088368,182694.851208,1.745205941e-06,0.005665764950081
2401,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,876.517433768,45102.9273563,4.30489281e-07,0.002821335084089
2402,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,606.015808829,16624.8710891,1.58851139e-07,0.001875783552299
2403,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,999.570159679,41881.4829813,4.00455028e-07,0.002900893641727
2404,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1918.71764676,152631.854938,1.458807331e-06,0.006042707858119
2405,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,434.768686384,9501.93111016,9.0862741e-08,0.001287415100825
2406,R3,RES SINGLE FAMILY,RESIDENTIAL,8229.65172528,4128143.29875,3.9487110925e-05,0.025872856727356
2407,R5,RES SINGLE FAMILY,RESIDENTIAL,750.004033372,34961.2334797,3.3403954e-07,0.002315168518905
2408,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2246.62725801,190172.818044,1.818868314e-06,0.007041204433297
2409,R5A,RES MULTI FAMILY,RESIDENTIAL,2992.87744193,523703.421725,5.009012061e-06,0.00946769890227
2410,R4,RES SINGLE FAMILY,RESIDENTIAL,4031.06975931,417935.923225,3.996839883e-06,0.012613673242039
2411,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,563.023943759,19920.9030094,1.90521582e-07,0.001763136528742
2412,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,655.850520159,24566.9509633,2.34697752e-07,0.002001537006308
2413,R4,RES SINGLE FAMILY,RESIDENTIAL,3113.59215857,434144.7168,4.1508646e-06,0.009871989553705
2414,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3880.76769391,709168.98266,6.782900706e-06,0.011922380035958
2415,R5A,RES MULTI FAMILY,RESIDENTIAL,1686.16456304,177007.575259,1.693040173e-06,0.005271733904542
2416,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,51477.5039117,10871440.3763,0.0001039547645,0.161622148197936
2417,PEC,PLANNED EMPLOYMENT CENTER,SPECIAL,35499.81379,36875336.37,0.000352835871046,0.113743488912696
2418,R6,RES MULTI-FAMILY,RESIDENTIAL,11972.9655179,3643106.59204,3.4787744928e-05,0.036954122283344
2419,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,8736.21606267,2453334.43793,2.3451355931e-05,0.027566371106
2420,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4033.71651057,694304.54808,6.642158769e-06,0.012792120899096
2421,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,7885.20634632,3272080.3382,3.122748101e-05,0.023814897676632
2422,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,378.526380215,8959.01515547,8.5677393e-08,0.001185580909531
2423,R4,RES SINGLE FAMILY,RESIDENTIAL,1234.58489854,62589.9275039,5.97978696e-07,0.003579906043968
2424,M2,INDUSTRIAL,INDUSTRIAL,4659.06195166,619164.61785,5.921307199e-06,0.014265595249797
2425,R5,RES SINGLE FAMILY,RESIDENTIAL,12403.4164251,3302717.83705,3.1519535267e-05,0.038256270612162
2426,R6,RES MULTI-FAMILY,RESIDENTIAL,5561.85557553,1627860.13948,1.5569227848e-05,0.017322624119455
2427,R6,RES MULTI-FAMILY,RESIDENTIAL,26200.82556,6180210.83455,5.9091866795e-05,0.083475700831358
2428,R7,RES MULTI-FAMILY,RESIDENTIAL,633.054880227,11580.7545281,1.10745139e-07,0.002051100749389
2429,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1110.12115507,69578.617643,6.6483866e-07,0.003578132345551
2430,R5,RES SINGLE FAMILY,RESIDENTIAL,2731.33471876,464507.74975,4.442537757e-06,0.008579907855492
2431,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,647.827501471,19907.3372164,1.90346628e-07,0.002132845938987
2432,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1349.16680471,110524.51041,1.057976825e-06,0.00426454056928
2433,OR1,OFFICE/RES,OFFICE,3337.79639804,326870.350605,3.122946131e-06,0.010380172056258
2434,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1339.42404954,83249.1386234,7.95118833e-07,0.004177812811156
2435,M2,INDUSTRIAL,INDUSTRIAL,769.760898019,37101.3959813,3.54673216e-07,0.002408250510616
2436,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,10277.6426683,2115930.66439,2.0236468722e-05,0.033348095145656
2437,R5A,RES MULTI FAMILY,RESIDENTIAL,3556.78024268,442030.206155,4.223062827e-06,0.011006328880018
2438,R5,RES SINGLE FAMILY,RESIDENTIAL,3735.36728241,470815.070634,4.504665998e-06,0.011761147769517
2439,PD,PLANNED DEVELOPMENT,SPECIAL,1358.20314139,113285.299312,1.082325223e-06,0.004239052589208
2440,PD,PLANNED DEVELOPMENT,SPECIAL,4642.67633627,1173271.62267,1.1209641374e-05,0.014358325193771
2441,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1046.91704728,63337.7892305,6.05130278e-07,0.003154705437833
2442,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1033.46772811,61733.1330242,5.8958576e-07,0.003199935074539
2443,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1585.08572364,137724.255578,1.317655019e-06,0.004928866564072
2444,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1061.1582333,71821.60723,6.85713056e-07,0.003299736819038
2445,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1416.39229662,62875.1577984,6.01301763e-07,0.004282557590387
2446,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,11492.0657705,2404558.25573,2.2994368224e-05,0.036589050453698
2447,OR3,OFFICE/RES,OFFICE,1929.10524655,184719.63511,1.767388548e-06,0.006355688469979
2448,(CM),COMM MANUFACTURING OVERLAY,COMMERCIAL-INDUSTRIAL,1728.45948231,185474.251989,1.774026829e-06,0.005420289839219
2449,R4,RES SINGLE FAMILY,RESIDENTIAL,738.320483741,16003.7521477,1.53060817e-07,0.002470635892492
2450,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,805.391184099,39810.4914883,3.80034116e-07,0.002490962215999
2451,PEC,PLANNED EMPLOYMENT CENTER,SPECIAL,5169.69265989,1253365.3717,1.1991708036e-05,0.016475670641003
2452,R5A,RES MULTI FAMILY,RESIDENTIAL,2935.05774636,513311.40932,4.900858786e-06,0.009370965019099
2453,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,50404.3949176,42420444.8344,0.000405092835019,0.16183176971688
2454,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,916.97194763,48124.2950391,4.600717e-07,0.002820209843758
2455,R6,RES MULTI FAMILY,RESIDENTIAL,533.900685488,6944.20652,6.6387572e-08,0.001648089457752
2456,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4317.34260969,516456.941769,4.938580358e-06,0.013216219137747
2457,OR1,OFFICE/RES,OFFICE,465.891727504,8917.34177344,8.5271669e-08,0.001548171111668
